c,gamma,accuracy
1.7000000000000002,1.3000000000000003,1.0
1.7000000000000002,1.4000000000000001,1.0
1.7000000000000002,1.5000000000000002,1.0
1.7000000000000002,1.6,1.0
1.7000000000000002,1.7000000000000002,1.0
1.7000000000000002,1.8000000000000003,1.0
1.7000000000000002,1.9000000000000001,1.0
1.7000000000000002,2.0,1.0
1.8000000000000003,0.1,0.9629629629629629
1.8000000000000003,0.2,1.0
1.8000000000000003,0.30000000000000004,1.0
1.8000000000000003,0.4,1.0
1.8000000000000003,0.5,1.0
1.8000000000000003,0.6,1.0
1.8000000000000003,0.7000000000000001,1.0
1.8000000000000003,0.8,1.0
1.8000000000000003,0.9,1.0
1.8000000000000003,1.0,1.0
1.8000000000000003,1.1,1.0
1.8000000000000003,1.2000000000000002,1.0
1.8000000000000003,1.3000000000000003,1.0
1.8000000000000003,1.4000000000000001,1.0
1.8000000000000003,1.5000000000000002,1.0
1.8000000000000003,1.6,1.0
1.8000000000000003,1.7000000000000002,1.0
1.8000000000000003,1.8000000000000003,1.0
1.8000000000000003,1.9000000000000001,1.0
1.8000000000000003,2.0,1.0
1.9000000000000001,0.1,0.9629629629629629
1.9000000000000001,0.2,1.0
1.9000000000000001,0.30000000000000004,1.0
1.9000000000000001,0.4,1.0
1.9000000000000001,0.5,1.0
1.9000000000000001,0.6,1.0
1.9000000000000001,0.7000000000000001,1.0
1.9000000000000001,0.8,1.0
1.9000000000000001,0.9,1.0
1.9000000000000001,1.0,1.0
1.9000000000000001,1.1,1.0
1.9000000000000001,1.2000000000000002,1.0
1.9000000000000001,1.3000000000000003,1.0
1.9000000000000001,1.4000000000000001,1.0
1.9000000000000001,1.5000000000000002,1.0
1.9000000000000001,1.6,1.0
1.9000000000000001,1.7000000000000002,1.0
1.9000000000000001,1.8000000000000003,1.0
1.9000000000000001,1.9000000000000001,1.0
1.9000000000000001,2.0,1.0
2.0,0.1,0.9629629629629629
2.0,0.2,1.0
2.0,0.30000000000000004,1.0
2.0,0.4,1.0
2.0,0.5,1.0
2.0,0.6,1.0
2.0,0.7000000000000001,1.0
2.0,0.8,1.0
2.0,0.9,1.0
2.0,1.0,1.0
2.0,1.1,1.0
2.0,1.2000000000000002,1.0
2.0,1.3000000000000003,1.0
2.0,1.4000000000000001,1.0
2.0,1.5000000000000002,1.0
2.0,1.6,1.0
2.0,1.7000000000000002,1.0
2.0,1.8000000000000003,1.0
2.0,1.9000000000000001,1.0
2.0,2.0,1.0
2.1,0.1,0.9629629629629629
2.1,0.2,1.0
2.1,0.30000000000000004,1.0
2.1,0.4,1.0
2.1,0.5,1.0
2.1,0.6,1.0
2.1,0.7000000000000001,1.0
2.1,0.8,1.0
2.1,0.9,1.0
2.1,1.0,1.0
2.1,1.1,1.0
2.1,1.2000000000000002,1.0
2.1,1.3000000000000003,1.0
2.1,1.4000000000000001,1.0
2.1,1.5000000000000002,1.0
2.1,1.6,1.0
2.1,1.7000000000000002,1.0
2.1,1.8000000000000003,1.0
2.1,1.9000000000000001,1.0
2.1,2.0,1.0
2.2,0.1,0.9629629629629629
2.2,0.2,1.0
2.2,0.30000000000000004,1.0
2.2,0.4,1.0
2.2,0.5,1.0
2.2,0.6,1.0
2.2,0.7000000000000001,1.0
2.2,0.8,1.0
2.2,0.9,1.0
2.2,1.0,1.0
2.2,1.1,1.0
2.2,1.2000000000000002,1.0
2.2,1.3000000000000003,1.0
2.2,1.4000000000000001,1.0
2.2,1.5000000000000002,1.0
2.2,1.6,1.0
2.2,1.7000000000000002,1.0
2.2,1.8000000000000003,1.0
2.2,1.9000000000000001,1.0
2.2,2.0,1.0
2.3000000000000003,0.1,0.9629629629629629
2.3000000000000003,0.2,1.0
2.3000000000000003,0.30000000000000004,1.0
2.3000000000000003,0.4,1.0
2.3000000000000003,0.5,1.0
2.3000000000000003,0.6,1.0
2.3000000000000003,0.7000000000000001,1.0
2.3000000000000003,0.8,1.0
2.3000000000000003,0.9,1.0
2.3000000000000003,1.0,1.0
2.3000000000000003,1.1,1.0
2.3000000000000003,1.2000000000000002,1.0
2.3000000000000003,1.3000000000000003,1.0
2.3000000000000003,1.4000000000000001,1.0
2.3000000000000003,1.5000000000000002,1.0
2.3000000000000003,1.6,1.0
2.3000000000000003,1.7000000000000002,1.0
2.3000000000000003,1.8000000000000003,1.0
2.3000000000000003,1.9000000000000001,1.0
2.3000000000000003,2.0,1.0
2.4000000000000004,0.1,0.9629629629629629
2.4000000000000004,0.2,1.0
2.4000000000000004,0.30000000000000004,1.0
2.4000000000000004,0.4,1.0
2.4000000000000004,0.5,1.0
2.4000000000000004,0.6,1.0
2.4000000000000004,0.7000000000000001,1.0
2.4000000000000004,0.8,1.0
2.4000000000000004,0.9,1.0
2.4000000000000004,1.0,1.0
2.4000000000000004,1.1,1.0
2.4000000000000004,1.2000000000000002,1.0
2.4000000000000004,1.3000000000000003,1.0
2.4000000000000004,1.4000000000000001,1.0
